price_changes.ProductID,price_changes.WeekKey,price_changes.Channel,price_changes.Country,price_changes.OSP,price_changes.previous_CSP,price_changes.CSP
100ba933,201603,Stores,B,18.084,18.084,14.033
100ba933,201609,Stores,B,18.084,14.033,12.683
101cfc62,201607,Stores,B,23.035,23.035,16.733
1021879c,201541,Online,B,13.583,14.483,13.583
10328ad7,201517,Online,B,15.383,15.383,13.133
10328ad7,201517,Stores,B,15.383,15.383,13.133
10328ad7,201519,Online,B,15.383,13.133,11.782
10328ad7,201519,Stores,B,15.383,13.133,11.782
10353efc,201519,Stores,B,11.557,11.557,10.432
10353efc,201523,Stores,B,11.557,10.432,11.332
10353efc,201524,Stores,B,11.557,11.332,10.432
1036bf6a,201507,Stores,B,13.583,13.583,12.683
1036bf6a,201510,Stores,A,14.483,14.483,13.358
1036bf6a,201519,Online,B,12.683,12.683,11.782
1036bf6a,201519,Stores,A,14.483,13.358,12.232
1036bf6a,201519,Stores,B,13.583,12.683,11.782
1036bf6a,201533,Online,B,13.583,11.782,10.882
1036bf6a,201533,Stores,A,14.483,12.232,11.107
1036bf6a,201533,Stores,B,13.583,11.782,10.882
1036bf6a,201546,Stores,A,14.483,11.107,10.261
1036bf6a,201546,Stores,B,13.583,10.882,10.207
1036bf6a,201551,Online,B,13.583,10.882,10.207
103ac306,201507,Stores,B,18.084,18.084,14.483
103ac306,201512,Stores,B,18.084,14.483,13.583
103ac306,201516,Stores,B,18.084,13.583,12.232
103ac306,201546,Stores,B,18.084,12.232,10
1048d539,201516,Online,B,14.483,14.483,13.133
1048d539,201517,Stores,A,15.833,15.833,12.908
1048d539,201517,Stores,B,14.483,14.483,12.232
1048d539,201518,Online,B,14.483,13.133,12.232
1048d539,201519,Online,B,14.483,12.232,11.332
1048d539,201519,Stores,A,15.833,12.908,11.737
1048d539,201519,Stores,B,14.483,12.232,11.332
1048d539,201520,Online,B,14.483,11.332,13.133
1048d539,201522,Online,B,14.483,13.133,11.332
1048d539,201523,Online,B,14.483,11.332,12.232
1048d539,201523,Stores,A,15.833,11.737,12.908
1048d539,201523,Stores,B,14.483,11.332,12.232
1048d539,201524,Online,B,14.483,12.232,11.332
1048d539,201524,Stores,A,15.833,12.908,11.737
1048d539,201524,Stores,B,14.483,12.232,11.332
1048d539,201527,Online,B,14.483,11.332,13.133
1048d539,201528,Online,B,14.483,13.133,11.332
10516724,201519,Stores,A,15.833,15.833,11.445
10516724,201519,Stores,B,14.483,14.483,11.107
10516724,201521,Online,B,14.033,14.033,12.007
10516724,201523,Stores,A,15.833,11.445,12.615
10516724,201523,Stores,B,14.483,11.107,12.007
10516724,201524,Stores,A,15.833,12.615,11.445
10516724,201524,Stores,B,14.483,12.007,11.107
10516724,201535,Online,B,14.483,12.007,11.107
1051a073,201604,Online,B,11.782,12.007,11.782
1051a073,201605,Online,B,12.007,11.782,12.007
105ff12d,201607,Stores,A,15.833,15.833,14.078
105ff12d,201607,Stores,B,14.483,14.483,13.133
1063433c,201607,Online,B,18.084,18.084,14.033
1063433c,201607,Stores,B,18.084,18.084,14.033
1063433c,201609,Online,B,18.084,14.033,12.683
1063433c,201609,Stores,B,18.084,14.033,12.683
1076b64b,201525,Online,B,14.483,14.483,12.232
1076b64b,201525,Stores,B,14.483,14.483,12.232
