products.ProductID,products.Season,products.Group,products.SubGroup,products.Class,products.SubClass
110e1664,L,606565a1,33de6bfe,57dedfae,e5db0621
11430072,L,bca94c97,44b005af,bb900370,fed6cf53
11660a96,L,606565a1,33de6bfe,8f5e4e2f,52fc415a
116e2878,L,26387251,14edd834,96d57a3c,62defb1f
1.19E+81,L,606565a1,33de6bfe,8f5e4e2f,52fc415a
11c8a8c3,L,edf80f3a,edf80f3a,80b04f38,f740e1ce
11ce4880,L,26387251,c3567a18,c7b04e18,ef307285
125cd771,L,606565a1,33de6bfe,83b19c60,df747ddd
135fc45e,L,26387251,c3567a18,8face522,641d430c
1406bd79,L,26387251,c3567a18,38b52c5e,faf33996
1570bab1,L,bca94c97,c830b21c,6ad22ddd,92ec9bfa
15f095f4,L,26387251,14edd834,96d57a3c,4e83142f
164679f3,L,bca94c97,c830b21c,6ad22ddd,fd076de4
16b967,L,26387251,c3567a18,3225bef8,7ba805a4
16c490f6,L,bca94c97,8f7078c4,5054325,15537b2e
1774781e,L,606565a1,33de6bfe,8f5e4e2f,52fc415a
18759be4,L,bca94c97,8f7078c4,5054325,fed6cf53
18981b2f,L,c8e7b2df,fb23693f,fb23693f,fb23693f
1910433a,L,26387251,c3567a18,c7b04e18,ef307285
191b08fd,L,bca94c97,44b005af,4a5b1ef4,788e1264
19b10f07,L,26387251,c3567a18,8face522,688dad2b
19e3c22c,L,bca94c97,c830b21c,7f5a3521,d09982e0
19e5f315,L,bca94c97,cddaa128,cddaa128,bb963db0
1a11d77,L,bca94c97,44b005af,4a5b1ef4,ea2c7596
1a42cfdc,L,edf80f3a,edf80f3a,80b04f38,f740e1ce
1acfec3c,L,edf80f3a,edf80f3a,475fad98,76b05919
1c3b6dc3,L,bca94c97,c830b21c,7f5a3521,d09982e0
1d66910d,L,bca94c97,44b005af,bb900370,3f899150
1e52844e,L,606565a1,33de6bfe,83b19c60,35361cb0
1f3d56bc,L,606565a1,9d3d7fe0,7432d9ca,b37e83f9
1f519761,L,26387251,c3567a18,8face522,cbfb9701
1fa1cb2a,L,26387251,14edd834,96d57a3c,3906b741
1fa5d46e,L,606565a1,eb5237dd,fcb53a7d,255a6b2d
1ff41410,L,bca94c97,44b005af,c409cf28,8a0d6232
20180829,L,edf80f3a,edf80f3a,bf003871,55818191
211856a3,L,606565a1,33de6bfe,57dedfae,d4a73e2b
22125db2,L,bca94c97,44b005af,c409cf28,8a0d6232
22478288,L,26387251,14edd834,96d57a3c,4e83142f
22ef9a68,L,bca94c97,8f7078c4,5054325,15537b2e
232b1be3,L,26387251,c3567a18,c7b04e18,ef307285
2386604,L,606565a1,9d3d7fe0,7432d9ca,b37e83f9
23ac681f,L,606565a1,9d3d7fe0,7432d9ca,b8ec0b9c
2452f0b5,L,bca94c97,c830b21c,7f5a3521,ea2c7596
245bf2ab,L,bca94c97,44b005af,4a5b1ef4,ea2c7596
24a17164,L,606565a1,9d3d7fe0,aea70009,f3160a73
24c73331,L,26387251,c3567a18,c7b04e18,ef307285
25e07883,L,26387251,14edd834,96d57a3c,4e83142f
26bbff5f,L,c8e7b2df,c8e7b2df,6e175527,aa81453f
2729a59e,L,edf80f3a,edf80f3a,475fad98,76b05919
276c530d,L,26387251,14edd834,96d57a3c,4e83142f
27a4867e,L,edf80f3a,edf80f3a,80b04f38,f740e1ce
2896f313,L,bca94c97,c830b21c,6ad22ddd,92ec9bfa
28e436b8,L,26387251,14edd834,96d57a3c,4e83142f
29517801,L,606565a1,9d3d7fe0,aea70009,f3160a73
29524540,L,edf80f3a,edf80f3a,c494ac16,1d455ef5
29a98f00,L,bca94c97,8f7078c4,27441678,d09982e0
29ef6662,L,edf80f3a,edf80f3a,6e52582b,6e52582b
2a1afa2d,L,bca94c97,44b005af,4a5b1ef4,bd6013db
2a3b82a3,L,bca94c97,44b005af,bb900370,c6ea2cc6
2c165b16,L,edf80f3a,edf80f3a,bf003871,ef307285
2c38ef4,L,bca94c97,44b005af,bb900370,edd5b632
2d16059c,L,606565a1,33de6bfe,57dedfae,e5db0621
2d7e196e,L,606565a1,33de6bfe,8f5e4e2f,52fc415a
2e1a4c0b,L,c8e7b2df,fb23693f,fb23693f,fb23693f
2ec7dee9,L,26387251,c3567a18,8face522,641d430c
2f124a8,L,bca94c97,44b005af,c409cf28,8a0d6232
2f2dbf9a,L,bca94c97,8f7078c4,27441678,4ad16395
2fd423a4,L,bca94c97,c830b21c,7f5a3521,ea2c7596
300d8c9,L,606565a1,9d3d7fe0,aea70009,7b771b3e
3020d357,L,26387251,14edd834,96d57a3c,3906b741
30786c17,L,26387251,14edd834,583c131b,aafc0c06
30a8e5d7,L,bca94c97,c830b21c,6ad22ddd,c38de05e
30d5c670,L,26387251,c3567a18,c7b04e18,ef307285
310c4914,L,26387251,c3567a18,3225bef8,7ba805a4
3156bf8d,L,bca94c97,c830b21c,6ad22ddd,2f6d2d03
3185738c,L,606565a1,33de6bfe,8f5e4e2f,52fc415a
318bbb28,L,bca94c97,44b005af,bb900370,5b7097e
31e29eb1,L,26387251,14edd834,583c131b,aafc0c06
32d1131c,L,bca94c97,c830b21c,7f5a3521,ea2c7596
330b1dee,L,26387251,c3567a18,3225bef8,3906b741
3.32E+39,L,bca94c97,44b005af,c409cf28,8a0d6232
346cf2ce,L,606565a1,9d3d7fe0,aea70009,7b771b3e
3498b1c1,L,bca94c97,8f7078c4,5054325,fed6cf53
34cd83e4,L,edf80f3a,edf80f3a,475fad98,76b05919
3504ea86,L,606565a1,9d3d7fe0,aea70009,7b771b3e
3513ecee,L,26387251,14edd834,96d57a3c,3906b741
351d340b,L,bca94c97,8f7078c4,5054325,15537b2e
35d50879,L,26387251,14edd834,96d57a3c,62defb1f
