sales_small.ProductID,sales_small.Channel,sales_small.Country,sales_small.WeekKey,sales_small.CSP,sales_small.SalesVolume,sales_small.TotalStockVolume,sales_small.StoreStockVolume,sales_small.DepotStockVolume,sales_small.FutureCommitmentVolume,sales_small.IntakeVolume,sales_small.StoresWithStockCount,sales_small.StoresWithSalesCount
135fc45e,Stores,B,201502,18.984,3,39,6,33,0,0,0.101,0.0078
1ff41410,Stores,A,201502,15.833,2,2,2,0,0,0,0.241,0.0389
22125db2,Stores,B,201502,18.084,1,6,2,3,0,1,0.0622,0.0039
25e07883,Stores,B,201502,13.583,6,6,2,4,0,0,0.02328,0.0194
2729a59e,Stores,B,201502,14.483,8,117,7,8,102,0,0.2293,0.035
2d16059c,Stores,B,201502,13.583,2,213,3,74,40,96,0.0894,0.0078
3185738c,Stores,A,201502,16.958,0,4,4,0,0,0,0.0389,0
34cd83e4,Stores,A,201502,18.084,6,9,9,0,0,0,0.2915,0.0311
3504ea86,Stores,B,201502,14.483,0,90,6,15,41,28,0.1321,0
3896e2fe,Stores,B,201502,15.383,2,23,8,7,8,0,0.3342,0.0039
3ae20ac,Stores,B,201502,12.908,4,193,51,2,67,73,0.8259,0.0194
3bc20bca,Stores,A,201502,18.084,0,0,0,0,0,0,0,0
3cbe36f,Stores,B,201502,12.007,14,82,32,18,14,18,0.9172,0.1593
3cdb954f,Online,B,201502,14.483,2,2,0,2,0,0,0.0039,0.0039
3cdb954f,Stores,A,201502,15.833,3,2,2,0,0,0,0.0389,0.0039
3cdb954f,Stores,B,201502,14.483,29,185,43,70,0,72,0.8745,0.1127
41ab9b25,Stores,B,201502,12.232,3,59,20,20,0,19,0.2332,0.0155
44d4fa38,Stores,B,201502,13.583,0,3,1,2,0,0,0.0194,0
4f6eec3c,Online,B,201502,18.984,1,5,0,5,0,0,0.0039,0.0039
50eb65e5,Stores,B,201502,15.383,6,13,6,7,0,0,0.2254,0.035
5334cae3,Online,B,201502,17.183,1,2,0,2,0,0,0.0039,0.0039
5334cae3,Stores,B,201502,17.183,4,12,5,7,0,0,0.0466,0.0117
59e5de32,Online,B,201502,15.383,1,2,0,2,0,0,0.0039,0.0039
651b3aec,Stores,B,201502,17.183,0,32,4,11,0,17,0.0894,0
661633e,Online,B,201502,25.735,1,1,0,1,0,0,0.0039,0.0039
661633e,Stores,B,201502,25.735,3,6,3,4,0,-1,0.101,0.0078
6ef73d16,Online,B,201502,14.483,4,3,0,3,0,0,0.0039,0.0039
6ef73d16,Stores,A,201502,15.833,3,4,4,0,0,0,0.1244,0.0078
7c3602f1,Stores,A,201502,18.084,16,8,8,0,0,0,0.2526,0.0661
7fc58fd9,Online,B,201502,18.084,2,1,0,1,0,0,0.0039,0.0039
7fc58fd9,Stores,A,201502,20.334,2,2,2,0,0,0,0.035,0.0039
7fc58fd9,Stores,B,201502,18.084,36,89,44,44,0,1,0.9056,0.1244
8c66ba5e,Stores,B,201502,17.183,22,306,98,60,149,-1,0.68015,0.07
8f22ae9a,Online,B,201502,14.483,2,14,0,7,0,7,0.0039,0.0039
8f22ae9a,Stores,B,201502,14.483,1,0,0,0,0,0,0,0.0039
95cbb6f0,Stores,A,201502,21.684,2,7,7,0,0,0,0.1399,0.0039
96a14c52,Stores,B,201502,12.007,1,32,5,5,17,5,0.3342,0.0078
9bf240d3,Online,B,201502,18.084,2,1,0,1,0,0,0.0039,0.0039
9bf240d3,Stores,A,201502,20.334,0,1,1,0,0,0,0.0311,0
9ceab569,Stores,A,201502,14.483,2,4,4,0,0,0,0.1244,0.0078
ae84e7c2,Online,B,201502,18.084,2,7,0,7,0,0,0.0039,0.0039
b2631d43,Online,B,201502,11.557,2,6,0,6,0,0,0.0039,0.0039
b2631d43,Stores,A,201502,12.007,0,2,2,0,0,0,0.0466,0
b2631d43,Stores,B,201502,11.557,30,178,49,39,90,0,0.65875,0.1516
b2f88060,Stores,A,201502,15.158,0,2,2,0,0,0,0.0622,0
b44561b2,Stores,B,201502,11.557,1,12,4,4,0,4,0.3342,0.0078
b4b494ad,Stores,B,201502,13.133,5,238,50,1,129,58,0.58105,0.0466
ba4fe7e1,Stores,B,201502,14.483,5,40,17,23,0,0,0.2837,0.0155
bc79b74,Online,B,201502,15.383,2,3,0,0,2,1,0.0039,0.0039
c184281c,Online,B,201502,21.234,2,2,0,2,0,0,0.0039,0.0039
c184281c,Stores,A,201502,24.61,0,1,1,0,0,0,0.0117,0
c52b07,Stores,B,201502,11.782,1,0,0,0,0,0,0,0.0039
c9fa9e92,Online,B,201502,18.984,2,5,0,5,0,0,0.0039,0.0039
d183fb2f,Online,B,201502,16.283,2,2,0,2,0,0,0.0039,0.0039
d767be66,Stores,A,201502,12.908,1,0,0,0,0,0,0,0.0039
dac833dd,Stores,A,201502,16.958,0,0,0,0,0,0,0,0
db377aea,Online,B,201502,18.084,1,1,0,1,0,0,0.0039,0.0039
